# 16383 samples -> 650 bus cycles
    15 M1     a=749C d=20 slot=D4 n=15
    45 MR     a=749D d=E1 slot=D4 n=12
    63 M1     a=749E d=C9 slot=D4 n=15
    93 MR     a=F0D0 d=CD slot=D4 n=12
   111 MR     a=F0D1 d=74 slot=D4 n=12
   129 M1     a=74CD d=21 slot=D4 n=15
   159 MR     a=74CE d=00 slot=D4 n=12
   177 MR     a=74CF d=CB slot=D4 n=12
   195 M1     a=74D0 d=36 slot=D4 n=15
   225 MR     a=74D1 d=00 slot=D4 n=12
   249 MW     a=CB00 d=00 slot=D4 n=6
   261 M1     a=74D2 d=C9 slot=D4 n=15
   291 MR     a=F0D2 d=6B slot=D4 n=12
   309 MR     a=F0D3 d=5D slot=D4 n=12
   327 M1     a=5D6B d=CD slot=D4 n=15
   357 MR     a=5D6C d=9F slot=D4 n=12
   375 MR     a=5D6D d=5D slot=D4 n=12
   405 MW     a=F0D3 d=5D slot=D4 n=6
   423 MW     a=F0D2 d=6E slot=D4 n=6
   435 M1     a=5D9F d=3A slot=D4 n=15
   465 MR     a=5DA0 d=82 slot=D4 n=12
   483 MR     a=5DA1 d=C4 slot=D4 n=12
   501 MR     a=C482 d=00 slot=D4 n=12
   519 M1     a=5DA2 d=FE slot=D4 n=15
   549 MR     a=5DA3 d=06 slot=D4 n=12
   567 M1     a=5DA4 d=38 slot=D4 n=15
   597 MR     a=5DA5 d=09 slot=D4 n=12
   645 M1     a=5DAF d=06 slot=D4 n=15
   675 MR     a=5DB0 d=08 slot=D4 n=12
   693 M1     a=5DB1 d=0E slot=D4 n=15
   723 MR     a=5DB2 d=08 slot=D4 n=12
   741 M1     a=5DB3 d=CD slot=D4 n=15
   771 MR     a=5DB4 d=47 slot=D4 n=12
   789 MR     a=5DB5 d=00 slot=D4 n=12
   819 MW     a=F0D1 d=5D slot=D4 n=6
   837 MW     a=F0D0 d=B6 slot=D4 n=6
   849 M1     a=0047 d=C3 slot=D4 n=15
   879 MR     a=0048 d=12 slot=D4 n=12
   897 MR     a=0049 d=06 slot=D4 n=12
   915 M1     a=0612 d=79 slot=D4 n=15
   945 M1     a=0613 d=A7 slot=D4 n=15
   975 M1     a=0614 d=20 slot=D4 n=15
  1005 MR     a=0615 d=07 slot=D4 n=12
  1053 M1     a=061D d=FE slot=D4 n=15
  1083 MR     a=061E d=08 slot=D4 n=12
  1101 M1     a=061F d=38 slot=D4 n=15
  1131 MR     a=0620 d=08 slot=D4 n=12
  1149 M1     a=0621 d=DD slot=D4 n=15
  1179 M1     a=0622 d=E5 slot=D4 n=15
  1221 MW     a=F0CF d=D3 slot=D4 n=6
  1239 MW     a=F0CE d=00 slot=D4 n=6
  1251 M1     a=0623 d=DD slot=D4 n=15
  1281 M1     a=0624 d=21 slot=D4 n=15
  1311 MR     a=0625 d=2D slot=D4 n=12
  1329 MR     a=0626 d=01 slot=D4 n=12
  1347 M1     a=0627 d=18 slot=D4 n=15
  1377 MR     a=0628 d=1B slot=D4 n=12
  1425 M1     a=0644 d=C3 slot=D4 n=15
  1455 MR     a=0645 d=95 slot=D4 n=12
  1473 MR     a=0646 d=02 slot=D4 n=12
  1491 M1     a=0295 d=CD slot=D4 n=15
  1521 MR     a=0296 d=9B slot=D4 n=12
  1539 MR     a=0297 d=02 slot=D4 n=12
  1569 MW     a=F0CD d=02 slot=D4 n=6
  1587 MW     a=F0CC d=98 slot=D4 n=6
  1599 M1     a=029B d=D9 slot=D4 n=15
  1629 M1     a=029C d=08 slot=D4 n=15
  1659 M1     a=029D d=E5 slot=D4 n=15
  1701 MW     a=F0CB d=CB slot=D4 n=6
  1719 MW     a=F0CA d=00 slot=D4 n=6
  1731 M1     a=029E d=D5 slot=D4 n=15
  1773 MW     a=F0C9 d=E3 slot=D4 n=6
  1791 MW     a=F0C8 d=60 slot=D4 n=6
  1803 M1     a=029F d=C5 slot=D4 n=15
  1845 MW     a=F0C7 d=60 slot=D4 n=6
  1863 MW     a=F0C6 d=08 slot=D4 n=6
  1875 M1     a=02A0 d=F5 slot=D4 n=15
  1917 MW     a=F0C5 d=00 slot=D4 n=6
  1935 MW     a=F0C4 d=44 slot=D4 n=6
  1947 M1     a=02A1 d=ED slot=D4 n=15
  1977 M1     a=02A2 d=57 slot=D4 n=15
  2013 M1     a=02A3 d=F5 slot=D4 n=15
  2055 MW     a=F0C3 d=00 slot=D4 n=6
  2073 MW     a=F0C2 d=44 slot=D4 n=6
  2085 M1     a=02A4 d=D9 slot=D4 n=15
  2115 M1     a=02A5 d=08 slot=D4 n=15
  2145 M1     a=02A6 d=FD slot=D4 n=15
  2175 M1     a=02A7 d=E5 slot=D4 n=15
  2217 MW     a=F0C1 d=01 slot=D4 n=6
  2235 MW     a=F0C0 d=A8 slot=D4 n=6
  2247 M1     a=02A8 d=FD slot=D4 n=15
  2277 M1     a=02A9 d=2A slot=D4 n=15
  2307 MR     a=02AA d=F7 slot=D4 n=12
  2325 MR     a=02AB d=FA slot=D4 n=12
  2343 MR     a=FAF7 d=D3 slot=D4 n=12
  2361 MR     a=FAF8 d=87 slot=D4 n=12
  2379 M1     a=02AC d=CD slot=D4 n=15
  2409 MR     a=02AD d=17 slot=D4 n=12
  2427 MR     a=02AE d=02 slot=D4 n=12
  2457 MW     a=F0BF d=02 slot=D4 n=6
  2475 MW     a=F0BE d=AF slot=D4 n=6
  2487 M1     a=0217 d=C3 slot=D4 n=15
  2517 MR     a=0218 d=D8 slot=D4 n=12
  2535 MR     a=0219 d=02 slot=D4 n=12
  2553 M1     a=02D8 d=D9 slot=D4 n=15
  2583 M1     a=02D9 d=08 slot=D4 n=15
  2613 M1     a=02DA d=FD slot=D4 n=15
  2643 M1     a=02DB d=E5 slot=D4 n=15
  2685 MW     a=F0BD d=87 slot=D4 n=6
  2703 MW     a=F0BC d=D3 slot=D4 n=6
  2715 M1     a=02DC d=F1 slot=D4 n=15
  2745 MR     a=F0BC d=D3 slot=D4 n=12
  2763 MR     a=F0BD d=87 slot=D4 n=12
  2781 M1     a=02DD d=DD slot=D4 n=15
  2811 M1     a=02DE d=E5 slot=D4 n=15
  2853 MW     a=F0BD d=01 slot=D4 n=6
  2871 MW     a=F0BC d=2D slot=D4 n=6
  2883 M1     a=02DF d=E1 slot=D4 n=15
  2913 MR     a=F0BC d=2D slot=D4 n=12
  2931 MR     a=F0BD d=01 slot=D4 n=12
  2949 M1     a=02E0 d=CD slot=D4 n=15
  2979 MR     a=02E1 d=53 slot=D4 n=12
  2997 MR     a=02E2 d=03 slot=D4 n=12
  3027 MW     a=F0BD d=02 slot=D4 n=6
  3045 MW     a=F0BC d=E3 slot=D4 n=6
  3057 M1     a=0353 d=F3 slot=D4 n=15
  3087 M1     a=0354 d=F5 slot=D4 n=15
  3129 MW     a=F0BB d=87 slot=D4 n=6
  3147 MW     a=F0BA d=D3 slot=D4 n=6
  3159 M1     a=0355 d=7C slot=D4 n=15
  3189 M1     a=0356 d=07 slot=D4 n=15
  3219 M1     a=0357 d=07 slot=D4 n=15
  3249 M1     a=0358 d=E6 slot=D4 n=15
  3279 MR     a=0359 d=03 slot=D4 n=12
  3297 M1     a=035A d=5F slot=D4 n=15
  3327 M1     a=035B d=3E slot=D4 n=15
  3357 MR     a=035C d=C0 slot=D4 n=12
  3375 M1     a=035D d=07 slot=D4 n=15
  3405 M1     a=035E d=07 slot=D4 n=15
  3435 M1     a=035F d=1D slot=D4 n=15
  3465 M1     a=0360 d=F2 slot=D4 n=15
  3495 MR     a=0361 d=5D slot=D4 n=12
  3513 MR     a=0362 d=03 slot=D4 n=12
  3531 M1     a=0363 d=5F slot=D4 n=15
  3561 M1     a=0364 d=2F slot=D4 n=15
  3591 M1     a=0365 d=4F slot=D4 n=15
  3621 M1     a=0366 d=F1 slot=D4 n=15
  3651 MR     a=F0BA d=D3 slot=D4 n=12
  3669 MR     a=F0BB d=87 slot=D4 n=12
  3687 M1     a=0367 d=F5 slot=D4 n=15
  3729 MW     a=F0BB d=87 slot=D4 n=6
  3747 MW     a=F0BA d=D3 slot=D4 n=6
  3759 M1     a=0368 d=E6 slot=D4 n=15
  3789 MR     a=0369 d=03 slot=D4 n=12
  3807 M1     a=036A d=3C slot=D4 n=15
  3837 M1     a=036B d=47 slot=D4 n=15
  3867 M1     a=036C d=3E slot=D4 n=15
  3897 MR     a=036D d=AB slot=D4 n=12
  3915 M1     a=036E d=C6 slot=D4 n=15
  3945 MR     a=036F d=55 slot=D4 n=12
  3963 M1     a=0370 d=10 slot=D4 n=15
  3999 MR     a=0371 d=FC slot=D4 n=12
  4047 M1     a=036E d=C6 slot=D4 n=15
  4077 MR     a=036F d=55 slot=D4 n=12
  4095 M1     a=0370 d=10 slot=D4 n=15
  4131 MR     a=0371 d=FC slot=D4 n=12
  4179 M1     a=036E d=C6 slot=D4 n=15
  4209 MR     a=036F d=55 slot=D4 n=12
  4227 M1     a=0370 d=10 slot=D4 n=15
  4263 MR     a=0371 d=FC slot=D4 n=12
  4311 M1     a=036E d=C6 slot=D4 n=15
  4341 MR     a=036F d=55 slot=D4 n=12
  4359 M1     a=0370 d=10 slot=D4 n=15
  4395 MR     a=0371 d=FC slot=D4 n=12
  4413 M1     a=0372 d=57 slot=D4 n=15
  4443 M1     a=0373 d=A3 slot=D4 n=15
  4473 M1     a=0374 d=47 slot=D4 n=15
  4503 M1     a=0375 d=F1 slot=D4 n=15
  4533 MR     a=F0BA d=D3 slot=D4 n=12
  4551 MR     a=F0BB d=87 slot=D4 n=12
  4569 M1     a=0376 d=A7 slot=D4 n=15
  4599 M1     a=0377 d=C9 slot=D4 n=15
  4629 MR     a=F0BC d=E3 slot=D4 n=12
  4647 MR     a=F0BD d=02 slot=D4 n=12
  4665 M1     a=02E3 d=FA slot=D4 n=15
  4695 MR     a=02E4 d=EF slot=D4 n=12
  4713 MR     a=02E5 d=02 slot=D4 n=12
  4731 M1     a=02EF d=F5 slot=D4 n=15
  4773 MW     a=F0BD d=87 slot=D4 n=6
  4791 MW     a=F0BC d=94 slot=D4 n=6
  4803 M1     a=02F0 d=E6 slot=D4 n=15
  4833 MR     a=02F1 d=03 slot=D4 n=12
  4851 M1     a=02F2 d=20 slot=D4 n=15
  4881 MR     a=02F3 d=06 slot=D4 n=12
  4929 M1     a=02FA d=F1 slot=D4 n=15
  4959 MR     a=F0BC d=94 slot=D4 n=12
  4977 MR     a=F0BD d=87 slot=D4 n=12
  4995 M1     a=02FB d=CD slot=D4 n=15
  5025 MR     a=02FC d=78 slot=D4 n=12
  5043 MR     a=02FD d=03 slot=D4 n=12
  5073 MW     a=F0BD d=02 slot=D4 n=6
  5091 MW     a=F0BC d=FE slot=D4 n=6
  5103 M1     a=0378 d=F5 slot=D4 n=15
  5145 MW     a=F0BB d=87 slot=D4 n=6
  5163 MW     a=F0BA d=94 slot=D4 n=6
  5175 M1     a=0379 d=7A slot=D4 n=15
  5205 M1     a=037A d=E6 slot=D4 n=15
  5235 MR     a=037B d=C0 slot=D4 n=12
  5253 M1     a=037C d=4F slot=D4 n=15
  5283 M1     a=037D d=F1 slot=D4 n=15
  5313 MR     a=F0BA d=94 slot=D4 n=12
  5331 MR     a=F0BB d=87 slot=D4 n=12
  5349 M1     a=037E d=F5 slot=D4 n=15
  5391 MW     a=F0BB d=87 slot=D4 n=6
  5409 MW     a=F0BA d=94 slot=D4 n=6
  5421 M1     a=037F d=57 slot=D4 n=15
  5451 M1     a=0380 d=DB slot=D4 n=15
  5481 MR     a=0381 d=A8 slot=D4 n=12
  5502 IOR    a=87A8 d=D4 slot=D4 n=15
  5523 M1     a=0382 d=47 slot=D4 n=15
  5553 M1     a=0383 d=E6 slot=D4 n=15
  5583 MR     a=0384 d=3F slot=D4 n=12
  5601 M1     a=0385 d=B1 slot=D4 n=15
  5631 M1     a=0386 d=D3 slot=D4 n=15
  5661 MR     a=0387 d=A8 slot=D4 n=12
  5682 IOW    a=D4A8 d=D4 slot=D4 n=15
  5703 M1     a=0388 d=7A slot=D4 n=15
  5733 M1     a=0389 d=0F slot=D4 n=15
  5763 M1     a=038A d=0F slot=D4 n=15
  5793 M1     a=038B d=E6 slot=D4 n=15
  5823 MR     a=038C d=03 slot=D4 n=12
  5841 M1     a=038D d=57 slot=D4 n=15
  5871 M1     a=038E d=3E slot=D4 n=15
  5901 MR     a=038F d=AB slot=D4 n=12
  5919 M1     a=0390 d=C6 slot=D4 n=15
  5949 MR     a=0391 d=55 slot=D4 n=12
  5967 M1     a=0392 d=15 slot=D4 n=15
  5997 M1     a=0393 d=F2 slot=D4 n=15
  6027 MR     a=0394 d=90 slot=D4 n=12
  6045 MR     a=0395 d=03 slot=D4 n=12
  6063 M1     a=0390 d=C6 slot=D4 n=15
  6093 MR     a=0391 d=55 slot=D4 n=12
  6111 M1     a=0392 d=15 slot=D4 n=15
  6141 M1     a=0393 d=F2 slot=D4 n=15
  6171 MR     a=0394 d=90 slot=D4 n=12
  6189 MR     a=0395 d=03 slot=D4 n=12
  6207 M1     a=0396 d=A3 slot=D4 n=15
  6237 M1     a=0397 d=57 slot=D4 n=15
  6267 M1     a=0398 d=7B slot=D4 n=15
  6297 M1     a=0399 d=2F slot=D4 n=15
  6327 M1     a=039A d=67 slot=D4 n=15
  6357 M1     a=039B d=3A slot=D4 n=15
  6387 MR     a=039C d=FF slot=D4 n=12
  6405 MR     a=039D d=FF slot=D4 n=12
  6423 MR     a=FFFF d=FF slot=D4 n=12
  6441 M1     a=039E d=2F slot=D4 n=15
  6471 M1     a=039F d=6F slot=D4 n=15
  6501 M1     a=03A0 d=A4 slot=D4 n=15
  6531 M1     a=03A1 d=B2 slot=D4 n=15
  6561 M1     a=03A2 d=32 slot=D4 n=15
  6591 MR     a=03A3 d=FF slot=D4 n=12
  6609 MR     a=03A4 d=FF slot=D4 n=12
  6633 MW     a=FFFF d=01 slot=D4 n=6
  6645 M1     a=03A5 d=78 slot=D4 n=15
  6675 M1     a=03A6 d=D3 slot=D4 n=15
  6705 MR     a=03A7 d=A8 slot=D4 n=12
  6726 IOW    a=D4A8 d=D4 slot=D4 n=15
  6747 M1     a=03A8 d=F1 slot=D4 n=15
