# 16383 samples -> 679 bus cycles
    16 MW     a=2993 d=0C slot=5C n=6
    34 MW     a=2992 d=4D slot=5C n=6
    46 M1     a=FD9A d=FF slot=5C n=15
    88 MW     a=2991 d=FD slot=5C n=6
   106 MW     a=2990 d=9B slot=5C n=6
   118 M1     a=0038 d=C3 slot=5C n=15
   148 MR     a=0039 d=3C slot=5C n=12
   166 MR     a=003A d=0C slot=5C n=12
   184 M1     a=0C3C d=E5 slot=5C n=15
   226 MW     a=298F d=5C slot=5C n=6
   244 MW     a=298E d=AE slot=5C n=6
   256 M1     a=0C3D d=D5 slot=5C n=15
   298 MW     a=298D d=B4 slot=5C n=6
   316 MW     a=298C d=28 slot=5C n=6
   328 M1     a=0C3E d=C5 slot=5C n=15
   370 MW     a=298B d=00 slot=5C n=6
   388 MW     a=298A d=00 slot=5C n=6
   400 M1     a=0C3F d=F5 slot=5C n=15
   442 MW     a=2989 d=5C slot=5C n=6
   460 MW     a=2988 d=00 slot=5C n=6
   472 M1     a=0C40 d=D9 slot=5C n=15
   502 M1     a=0C41 d=08 slot=5C n=15
   532 M1     a=0C42 d=E5 slot=5C n=15
   574 MW     a=2987 d=55 slot=5C n=6
   592 MW     a=2986 d=36 slot=5C n=6
   604 M1     a=0C43 d=D5 slot=5C n=15
   646 MW     a=2985 d=55 slot=5C n=6
   664 MW     a=2984 d=27 slot=5C n=6
   676 M1     a=0C44 d=C5 slot=5C n=15
   718 MW     a=2983 d=5F slot=5C n=6
   736 MW     a=2982 d=10 slot=5C n=6
   748 M1     a=0C45 d=F5 slot=5C n=15
   790 MW     a=2981 d=98 slot=5C n=6
   808 MW     a=2980 d=44 slot=5C n=6
   820 M1     a=0C46 d=FD slot=5C n=15
   850 M1     a=0C47 d=E5 slot=5C n=15
   892 MW     a=297F d=01 slot=5C n=6
   910 MW     a=297E d=A8 slot=5C n=6
   922 M1     a=0C48 d=DD slot=5C n=15
   952 M1     a=0C49 d=E5 slot=5C n=15
   994 MW     a=297D d=E0 slot=5C n=6
  1012 MW     a=297C d=00 slot=5C n=6
  1024 M1     a=0C4A d=CD slot=5C n=15
  1054 MR     a=0C4B d=9A slot=5C n=12
  1072 MR     a=0C4C d=FD slot=5C n=12
  1102 MW     a=297B d=0C slot=5C n=6
  1120 MW     a=297A d=4D slot=5C n=6
  1132 M1     a=FD9A d=FF slot=5C n=15
  1174 MW     a=2979 d=FD slot=5C n=6
  1192 MW     a=2978 d=9B slot=5C n=6
  1204 M1     a=0038 d=C3 slot=5C n=15
  1234 MR     a=0039 d=3C slot=5C n=12
  1252 MR     a=003A d=0C slot=5C n=12
  1270 M1     a=0C3C d=E5 slot=5C n=15
  1312 MW     a=2977 d=55 slot=5C n=6
  1330 MW     a=2976 d=36 slot=5C n=6
  1342 M1     a=0C3D d=D5 slot=5C n=15
  1384 MW     a=2975 d=55 slot=5C n=6
  1402 MW     a=2974 d=27 slot=5C n=6
  1414 M1     a=0C3E d=C5 slot=5C n=15
  1456 MW     a=2973 d=5F slot=5C n=6
  1474 MW     a=2972 d=10 slot=5C n=6
  1486 M1     a=0C3F d=F5 slot=5C n=15
  1528 MW     a=2971 d=98 slot=5C n=6
  1546 MW     a=2970 d=44 slot=5C n=6
  1558 M1     a=0C40 d=D9 slot=5C n=15
  1588 M1     a=0C41 d=08 slot=5C n=15
  1618 M1     a=0C42 d=E5 slot=5C n=15
  1660 MW     a=296F d=5C slot=5C n=6
  1678 MW     a=296E d=AE slot=5C n=6
  1690 M1     a=0C43 d=D5 slot=5C n=15
  1732 MW     a=296D d=B4 slot=5C n=6
  1750 MW     a=296C d=28 slot=5C n=6
  1762 M1     a=0C44 d=C5 slot=5C n=15
  1804 MW     a=296B d=00 slot=5C n=6
  1822 MW     a=296A d=00 slot=5C n=6
  1834 M1     a=0C45 d=F5 slot=5C n=15
  1876 MW     a=2969 d=5C slot=5C n=6
  1894 MW     a=2968 d=00 slot=5C n=6
  1906 M1     a=0C46 d=FD slot=5C n=15
  1936 M1     a=0C47 d=E5 slot=5C n=15
  1978 MW     a=2967 d=01 slot=5C n=6
  1996 MW     a=2966 d=A8 slot=5C n=6
  2008 M1     a=0C48 d=DD slot=5C n=15
  2038 M1     a=0C49 d=E5 slot=5C n=15
  2080 MW     a=2965 d=E0 slot=5C n=6
  2098 MW     a=2964 d=00 slot=5C n=6
  2110 M1     a=0C4A d=CD slot=5C n=15
  2140 MR     a=0C4B d=9A slot=5C n=12
