# 16385 samples -> 686 bus cycles
     6 MR     a=0182 d=00 slot=D4 n=12
    24 M1     a=54D0 d=47 slot=D4 n=15
    54 M1     a=54D1 d=4F slot=D4 n=15
    84 M1     a=54D2 d=23 slot=D4 n=15
   126 M1     a=54D3 d=B7 slot=D4 n=15
   156 M1     a=54D4 d=C8 slot=D4 n=15
   192 MR     a=F168 d=C9 slot=D4 n=12
   210 MR     a=F169 d=54 slot=D4 n=12
   228 M1     a=54C9 d=C3 slot=D4 n=15
   258 MR     a=54CA d=E9 slot=D4 n=12
   276 MR     a=54CB d=53 slot=D4 n=12
   294 M1     a=53E9 d=F3 slot=D4 n=15
   324 M1     a=53EA d=E5 slot=D4 n=15
   366 MW     a=F169 d=01 slot=D4 n=6
   384 MW     a=F168 d=83 slot=D4 n=6
   396 M1     a=53EB d=21 slot=D4 n=15
   426 MR     a=53EC d=F1 slot=D4 n=12
   444 MR     a=53ED d=F0 slot=D4 n=12
   462 M1     a=53EE d=3E slot=D4 n=15
   492 MR     a=53EF d=01 slot=D4 n=12
   510 M1     a=53F0 d=32 slot=D4 n=15
   540 MR     a=53F1 d=00 slot=D4 n=12
   558 MR     a=53F2 d=60 slot=D4 n=12
   582 MW     a=6000 d=01 slot=D4 n=6
   594 M1     a=53F3 d=77 slot=D4 n=15
   630 MW     a=F0F1 d=01 slot=D4 n=6
   642 M1     a=53F4 d=3C slot=D4 n=15
   672 M1     a=53F5 d=32 slot=D4 n=15
   702 MR     a=53F6 d=00 slot=D4 n=12
   720 MR     a=53F7 d=80 slot=D4 n=12
   744 MW     a=8000 d=02 slot=D4 n=6
   756 M1     a=53F8 d=23 slot=D4 n=15
   798 M1     a=53F9 d=77 slot=D4 n=15
   834 MW     a=F0F2 d=02 slot=D4 n=6
   846 M1     a=53FA d=3A slot=D4 n=15
   876 MR     a=53FB d=0C slot=D4 n=12
   894 MR     a=53FC d=C1 slot=D4 n=12
   912 MR     a=C10C d=03 slot=D4 n=12
   930 M1     a=53FD d=32 slot=D4 n=15
   960 MR     a=53FE d=00 slot=D4 n=12
   978 MR     a=53FF d=A0 slot=D4 n=12
  1002 MW     a=A000 d=03 slot=D4 n=6
  1014 M1     a=5400 d=23 slot=D4 n=15
  1056 M1     a=5401 d=77 slot=D4 n=15
  1092 MW     a=F0F3 d=03 slot=D4 n=6
  1104 M1     a=5402 d=E1 slot=D4 n=15
  1134 MR     a=F168 d=83 slot=D4 n=12
  1152 MR     a=F169 d=01 slot=D4 n=12
  1170 M1     a=5403 d=FB slot=D4 n=15
  1200 M1     a=5404 d=C9 slot=D4 n=15
  1230 MR     a=F16A d=75 slot=D4 n=12
  1248 MR     a=F16B d=F3 slot=D4 n=12
  1266 M1     a=F375 d=7C slot=D4 n=15
  1296 M1     a=F376 d=FF slot=D4 n=15
  1338 MW     a=F16B d=F3 slot=D4 n=6
  1356 MW     a=F16A d=77 slot=D4 n=6
  1368 M1     a=0038 d=C3 slot=D4 n=15
  1398 MR     a=0039 d=3C slot=D4 n=12
  1416 MR     a=003A d=0C slot=D4 n=12
  1434 M1     a=0C3C d=E5 slot=D4 n=15
  1476 MW     a=F169 d=01 slot=D4 n=6
  1494 MW     a=F168 d=83 slot=D4 n=6
  1506 M1     a=0C3D d=D5 slot=D4 n=15
  1548 MW     a=F167 d=98 slot=D4 n=6
  1566 MW     a=F166 d=5C slot=D4 n=6
  1578 M1     a=0C3E d=C5 slot=D4 n=15
  1620 MW     a=F165 d=00 slot=D4 n=6
  1638 MW     a=F164 d=00 slot=D4 n=6
  1650 M1     a=0C3F d=F5 slot=D4 n=15
  1692 MW     a=F163 d=01 slot=D4 n=6
  1710 MW     a=F162 d=00 slot=D4 n=6
  1722 M1     a=0C40 d=D9 slot=D4 n=15
  1752 M1     a=0C41 d=08 slot=D4 n=15
  1782 M1     a=0C42 d=E5 slot=D4 n=15
  1824 MW     a=F161 d=55 slot=D4 n=6
  1842 MW     a=F160 d=36 slot=D4 n=6
  1854 M1     a=0C43 d=D5 slot=D4 n=15
  1896 MW     a=F15F d=55 slot=D4 n=6
  1914 MW     a=F15E d=27 slot=D4 n=6
  1926 M1     a=0C44 d=C5 slot=D4 n=15
  1968 MW     a=F15D d=5F slot=D4 n=6
  1986 MW     a=F15C d=10 slot=D4 n=6
  1998 M1     a=0C45 d=F5 slot=D4 n=15
  2040 MW     a=F15B d=98 slot=D4 n=6
  2058 MW     a=F15A d=44 slot=D4 n=6
  2070 M1     a=0C46 d=FD slot=D4 n=15
  2100 M1     a=0C47 d=E5 slot=D4 n=15
  2142 MW     a=F159 d=01 slot=D4 n=6
  2160 MW     a=F158 d=A8 slot=D4 n=6
  2172 M1     a=0C48 d=DD slot=D4 n=15
  2202 M1     a=0C49 d=E5 slot=D4 n=15
  2244 MW     a=F157 d=E0 slot=D4 n=6
  2262 MW     a=F156 d=00 slot=D4 n=6
  2274 M1     a=0C4A d=CD slot=D4 n=15
  2304 MR     a=0C4B d=9A slot=D4 n=12
  2322 MR     a=0C4C d=FD slot=D4 n=12
  2352 MW     a=F155 d=0C slot=D4 n=6
  2370 MW     a=F154 d=4D slot=D4 n=6
  2382 M1     a=FD9A d=C9 slot=D4 n=15
  2412 MR     a=F154 d=4D slot=D4 n=12
  2430 MR     a=F155 d=0C slot=D4 n=12
