# 16385 samples -> 666 bus cycles
     1 M1     a=48CF d=1F slot=D4 n=11
    27 M1     a=48D0 d=CB slot=D4 n=15
    57 M1     a=48D1 d=3C slot=D4 n=15
    87 M1     a=48D2 d=1F slot=D4 n=15
   117 M1     a=48D3 d=6F slot=D4 n=15
   147 M1     a=48D4 d=11 slot=D4 n=15
   177 MR     a=48D5 d=00 slot=D4 n=12
   195 MR     a=48D6 d=E0 slot=D4 n=12
   213 M1     a=48D7 d=19 slot=D4 n=15
   285 M1     a=48D8 d=C9 slot=D4 n=15
   315 MR     a=F0CA d=16 slot=D4 n=12
   333 MR     a=F0CB d=49 slot=D4 n=12
   351 M1     a=4916 d=5E slot=D4 n=15
   381 MR     a=E1F0 d=16 slot=D4 n=12
   399 M1     a=4917 d=16 slot=D4 n=15
   429 MR     a=4918 d=C9 slot=D4 n=12
   447 M1     a=4919 d=1A slot=D4 n=15
   477 MR     a=C916 d=00 slot=D4 n=12
   495 M1     a=491A d=C9 slot=D4 n=15
   525 MR     a=F0CC d=3C slot=D4 n=12
   543 MR     a=F0CD d=8A slot=D4 n=12
   561 M1     a=8A3C d=32 slot=D4 n=15
   591 MR     a=8A3D d=2E slot=D4 n=12
   609 MR     a=8A3E d=C8 slot=D4 n=12
   633 MW     a=C82E d=00 slot=D4 n=6
   645 M1     a=8A3F d=0F slot=D4 n=15
   675 M1     a=8A40 d=D8 slot=D4 n=15
   711 M1     a=8A41 d=AF slot=D4 n=15
   741 M1     a=8A42 d=32 slot=D4 n=15
   771 MR     a=8A43 d=37 slot=D4 n=12
   789 MR     a=8A44 d=C8 slot=D4 n=12
   813 MW     a=C837 d=00 slot=D4 n=6
   825 M1     a=8A45 d=C9 slot=D4 n=15
   855 MR     a=F0CE d=D2 slot=D4 n=12
   873 MR     a=F0CF d=86 slot=D4 n=12
   891 M1     a=86D2 d=CD slot=D4 n=15
   921 MR     a=86D3 d=F7 slot=D4 n=12
   939 MR     a=86D4 d=89 slot=D4 n=12
   969 MW     a=F0CF d=86 slot=D4 n=6
   987 MW     a=F0CE d=D5 slot=D4 n=6
   999 M1     a=89F7 d=3A slot=D4 n=15
  1029 MR     a=89F8 d=10 slot=D4 n=12
  1047 MR     a=89F9 d=E8 slot=D4 n=12
  1065 MR     a=E810 d=33 slot=D4 n=12
  1083 M1     a=89FA d=FE slot=D4 n=15
  1113 MR     a=89FB d=40 slot=D4 n=12
  1131 M1     a=89FC d=C9 slot=D4 n=15
  1161 MR     a=F0CE d=D5 slot=D4 n=12
  1179 MR     a=F0CF d=86 slot=D4 n=12
  1197 M1     a=86D5 d=CA slot=D4 n=15
  1227 MR     a=86D6 d=AD slot=D4 n=12
  1245 MR     a=86D7 d=88 slot=D4 n=12
  1263 M1     a=86D8 d=3A slot=D4 n=15
  1293 MR     a=86D9 d=04 slot=D4 n=12
  1311 MR     a=86DA d=C2 slot=D4 n=12
  1329 MR     a=C204 d=00 slot=D4 n=12
  1347 M1     a=86DB d=B7 slot=D4 n=15
  1377 M1     a=86DC d=28 slot=D4 n=15
  1407 MR     a=86DD d=11 slot=D4 n=12
  1455 M1     a=86EF d=21 slot=D4 n=15
  1485 MR     a=86F0 d=41 slot=D4 n=12
  1503 MR     a=86F1 d=8D slot=D4 n=12
  1521 M1     a=86F2 d=0E slot=D4 n=15
  1551 MR     a=86F3 d=05 slot=D4 n=12
  1569 M1     a=86F4 d=CD slot=D4 n=15
  1599 MR     a=86F5 d=75 slot=D4 n=12
  1617 MR     a=86F6 d=8B slot=D4 n=12
  1647 MW     a=F0CF d=86 slot=D4 n=6
  1665 MW     a=F0CE d=F7 slot=D4 n=6
  1677 M1     a=8B75 d=CD slot=D4 n=15
  1707 MR     a=8B76 d=CC slot=D4 n=12
  1725 MR     a=8B77 d=BE slot=D4 n=12
  1755 MW     a=F0CD d=8B slot=D4 n=6
  1773 MW     a=F0CC d=78 slot=D4 n=6
  1785 M1     a=BECC d=E5 slot=D4 n=15
  1827 MW     a=F0CB d=8D slot=D4 n=6
  1845 MW     a=F0CA d=41 slot=D4 n=6
  1857 M1     a=BECD d=21 slot=D4 n=15
  1887 MR     a=BECE d=11 slot=D4 n=12
  1905 MR     a=BECF d=E7 slot=D4 n=12
  1923 M1     a=BED0 d=CB slot=D4 n=15
  1953 M1     a=BED1 d=46 slot=D4 n=15
  1983 MR     a=E711 d=00 slot=D4 n=12
  2007 M1     a=BED2 d=E1 slot=D4 n=15
  2037 MR     a=F0CA d=41 slot=D4 n=12
  2055 MR     a=F0CB d=8D slot=D4 n=12
  2073 M1     a=BED3 d=C0 slot=D4 n=15
  2109 M1     a=BED4 d=3A slot=D4 n=15
  2139 MR     a=BED5 d=18 slot=D4 n=12
  2157 MR     a=BED6 d=C8 slot=D4 n=12
  2175 MR     a=C818 d=01 slot=D4 n=12
  2193 M1     a=BED7 d=3D slot=D4 n=15
  2223 M1     a=BED8 d=32 slot=D4 n=15
  2253 MR     a=BED9 d=18 slot=D4 n=12
  2271 MR     a=BEDA d=C8 slot=D4 n=12
  2295 MW     a=C818 d=00 slot=D4 n=6
  2307 M1     a=BEDB d=C9 slot=D4 n=15
  2337 MR     a=F0CC d=78 slot=D4 n=12
  2355 MR     a=F0CD d=8B slot=D4 n=12
  2373 M1     a=8B78 d=00 slot=D4 n=15
  2403 M1     a=8B79 d=00 slot=D4 n=15
  2433 M1     a=8B7A d=00 slot=D4 n=15
  2463 M1     a=8B7B d=00 slot=D4 n=15
  2493 M1     a=8B7C d=C0 slot=D4 n=15
  2529 M1     a=8B7D d=79 slot=D4 n=15
  2559 M1     a=8B7E d=32 slot=D4 n=15
  2589 MR     a=8B7F d=18 slot=D4 n=12
  2607 MR     a=8B80 d=C8 slot=D4 n=12
  2631 MW     a=C818 d=05 slot=D4 n=6
  2643 M1     a=8B81 d=3A slot=D4 n=15
  2673 MR     a=8B82 d=1A slot=D4 n=12
  2691 MR     a=8B83 d=C8 slot=D4 n=12
  2709 MR     a=C81A d=00 slot=D4 n=12
  2727 M1     a=8B84 d=3C slot=D4 n=15
  2757 M1     a=8B85 d=BE slot=D4 n=15
  2787 MR     a=8D41 d=05 slot=D4 n=12
  2805 M1     a=8B86 d=38 slot=D4 n=15
  2835 MR     a=8B87 d=02 slot=D4 n=12
  2883 M1     a=8B8A d=32 slot=D4 n=15
  2913 MR     a=8B8B d=1A slot=D4 n=12
  2931 MR     a=8B8C d=C8 slot=D4 n=12
